x,y,z
0.000005,0.000000,0.000000
219.740502,0.003449,4.177065
45.210918,0.003365,-16.008996
344.552785,0.030213,277.614965
82.835513,0.012476,-105.619540
195.714261,0.034068,-167.695291
54.905296,0.017912,3.787796
54.367897,0.020886,19.827115
180.654532,0.086213,87.668389
337.379614,0.207994,250.431996
58.275424,0.037038,-71.623522
163.340420,0.106439,174.793831
249.053728,0.177782,-180.684145
92324.548321,67.196978,-38421.000273
205.757155,0.173890,-1.294442
330.967664,0.290916,405.679189
104.212982,0.092744,-88.043116
432.180376,0.395981,-615.258522
44.710745,0.041225,-3.168578
195.693966,0.182078,154.572309
88.585158,0.097476,38.571692
187.547277,0.217307,26.382215
207.454138,0.253838,-241.633370
83.962827,0.109269,19.866919
96.770874,0.129015,-41.982243
58.243094,0.080879,-56.818381
98.064726,0.143920,-23.350361
80.870646,0.121258,-71.041209
143.966634,0.219137,-135.961029
269.397158,0.433657,-311.088145
181.293246,0.304102,164.049778
306.413678,0.524535,14.318687
203.462862,0.350076,259.854810
111.874004,0.193640,-20.658692
66.541310,0.115654,33.784832
140.724913,0.252900,-36.369062
180.288895,0.325359,39.201059
259.428169,0.476909,-279.957073
8.026508,0.015848,-41.532715
88.606493,0.173657,-26.578231
212.959233,0.433276,296.389159
38724.465519,82.422961,92197.662534
147.054957,0.321961,71.231110
69.024292,0.155048,117.459890
335.011030,0.776192,-19.353759
19.043572,0.044508,-59.323610
751.384895,1.764970,-360.363723
22.291838,0.052522,-34.111837
508.886300,1.201131,-437.565308
360.140834,0.877278,107.835722
35.677374,0.089097,-47.513999
99982.372691,250.263031,1860.784651
47.087672,0.120720,-204.286993
87237.870108,224.465590,-48882.549384
47.752040,0.127177,15.486990
25.702202,0.071250,-59.631861
253.804153,0.721721,0.987533
10.374188,0.030419,-28.009080
18.112462,0.054853,34.318498
56319.956142,171.475741,82631.913264
74.190650,0.227164,-155.306013
105.597675,0.324911,144.398682
216.625621,0.680458,-219.847132
132.325125,0.419892,133.501154
215.536337,0.694330,-114.157726
31.509513,0.102901,-44.718378
38.642308,0.127080,-121.216080
137.862871,0.479653,60.054225
30.206989,0.105644,9.228456
157.686444,0.554335,92.499452
134.841793,0.476944,100.793121
109.716997,0.396439,82.019935
85.679304,0.328884,-19.511553
110.131222,0.423507,257.553115
36.132732,0.140219,26.014553
408.201365,1.590705,-494.249872
290.767266,1.158155,187.572518
180.680166,0.727112,-104.586559
675.006346,2.736898,217.604708
221.127909,0.909944,156.665514
71.547716,0.303237,-14.978171
43.620267,0.185316,-3.764562
98183.062891,425.008500,-18971.176274
333.993017,1.446094,428.736791
42.229742,0.186052,22.346816
276.950145,1.238095,-127.466385
94.962169,0.431695,255.396031
338.370259,1.544324,-34.579615
119.736878,0.562356,-136.823418
348.533968,1.685962,465.340440
84.308939,0.412135,-75.613910
299.619504,1.467004,-30.827462
378.703543,1.921411,-143.143907
61.198649,0.312274,-0.081283
76.312459,0.392913,-49.099347
146.009571,0.769644,-30.939939
34.108524,0.181537,8.488580
105.701105,0.566682,-139.250874
167.750771,0.899961,-65.755407
433.870743,2.393403,762.376203
173.335818,0.957136,62.204960
80.647032,0.450014,-88.923428
213.415758,1.193767,-188.733861
40.504087,0.227686,-102.152833
82.906345,0.472627,-51.604728
90.258359,0.516403,261.081237
128.347884,0.739720,152.861641
106.198875,0.618768,-128.089244
33995.891035,199.746918,-94043.816883
171.496567,1.037433,20.424207
38.232255,0.232625,31.641104
31.803710,0.194195,21.680663
30.727669,0.191824,-9.364349
65590.859465,418.558353,75482.871988
101.238423,0.656689,60.197798
117.616488,0.764850,-230.076621
104.139967,0.682192,-69.698100
279.379379,1.855655,-891.842124
76.588865,0.516780,-12.720744
110.588637,0.753085,109.345178
290.422468,2.006886,-293.945731
198.966112,1.376651,107.689500
14.902031,0.103716,-64.888859
51.620824,0.360284,161.137680
454.144163,3.204116,826.885007
171.869877,1.213907,-140.861556
290.553207,2.073240,75.860439
55.715803,0.400884,-63.950089
19.967120,0.144423,67.896054
166.485023,1.207680,15.658167
262.965094,1.919858,-156.095081
58.720910,0.430319,110.525093
391.706221,2.885224,-270.767989
159.572564,1.179430,-134.608237
861.874646,6.396161,-17.150637
50.073349,0.373003,-0.190331
164.569338,1.231343,74.145911
276.711822,2.089808,252.388978
158.190543,1.207783,-46.954642
160.066682,1.243970,386.579925
41.757767,0.330400,-103.904622
186.431129,1.475627,137.204014
23.976008,0.189891,54.636210
90.851501,0.721930,369.213828
42.378277,0.337022,16.661744
139.077212,1.106982,-7.355907
238.807114,1.899963,-115.439943
93338.534850,759.258296,35879.540675
40.907216,0.341175,19.956055
247.041982,2.064578,68.645748
96.741905,0.810996,-73.513429
167.015269,1.412098,-89.297006
172.991604,1.462906,38.843633
101.577779,0.859637,-90.231883
131.716394,1.126662,-13.877167
216.014409,1.851919,225.810974
133.850814,1.160926,266.813234
175.940655,1.536713,-16.055582
121.203325,1.059515,-94.364199
62.385741,0.556308,-3.014370
165.403525,1.477564,-437.034501
516.745326,4.621522,344.587405
347.667628,3.115087,178.060123
225.708415,2.037450,-133.942611
144.764294,1.311692,250.145114
706.098889,6.405229,-289.999983
58.816289,0.535166,-88.915731
178.593743,1.645306,145.576517
698.422409,6.502560,-34.405310
5.672010,0.053101,-14.239841
198.373579,1.861373,-75.642435
10.834733,0.102555,5.540428
336.959503,3.192751,809.886202
256.488523,2.460256,280.679362
106.038265,1.020961,183.415834
142.878965,1.377587,168.909308
154.231985,1.489716,151.191276
232.911869,2.277442,-49.357866
96.832337,0.960091,-49.629040
63.492066,0.631126,-15.135401
282.853092,2.818525,-45.687460
177.930706,1.781896,317.125770
261.867699,2.656416,342.357988
133.807455,1.361580,-76.389577
30.616154,0.315156,5.954951
76.028053,0.782972,14.483766
121.345487,1.272247,19.126563
127.974012,1.345289,-13.585222
99.883663,1.050714,11.086129
238.147486,2.515721,329.431374
85.941333,0.908160,16.358358
26.640676,0.285018,-27.616666
269.545021,2.916056,39.775756
171.028726,1.855947,-139.558438
36.494389,0.397318,5.444980
79.593143,0.869346,86.631494
61796.016286,676.280081,78618.032387
529.550962,5.844246,479.317936
214.296966,2.366694,58.770021
244.264213,2.707270,71.231266
214.226969,2.376168,-144.466725
87.303608,0.974134,29.524300
399.948630,4.479805,561.823210
375.784722,4.212726,-106.564468
473.634949,5.333979,-456.581777
124.169878,1.399296,-11.271892
98.376923,1.110590,33.561449
111.581378,1.266038,-271.194666
40513.198308,459.883590,91424.664275
40510.832037,466.819080,91425.677769
133.285842,1.540394,-19.892386
154.611614,1.789771,-120.576883
169.365004,1.961406,-94.177855
89.489872,1.041877,112.400634
232.998774,2.721377,126.739058
42.921084,0.505075,348.241776
118.436071,1.394382,443.160191
189.210939,2.235411,175.965048
190.495691,2.259715,-300.584588
97.680404,1.176923,10.326672
143.006436,1.726723,103.205714
25.116334,0.304195,146.674280
318.500454,3.860670,-276.724916
346.408784,4.209772,23.377080
42.593097,0.517843,1.584382
